"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"","
"East Asia & Pacific,""EAS"",""GDP per capita growth (annual %)"",""NY.GDP.PCAP.KD.ZG"","""",""3.57920985757481"",""4.04971163661362"",""5.24228593354437"",""8.02434268778987"",""4.49960595726566"",""5.88857600006811"",""5.12155250261806"",""6.84575805432783"",""8.67879271846985"",""2.73675312713451"",""2.55336551067222"",""4.71001812949166"",""5.26357368626947"",""-1.22452715105007"",""1.77278626236628"",""2.49943271304475"",""3.82528278534018"",""4.19616097976268"",""4.32380881577615"",""2.27064053157962"",""3.08900638510303"",""2.49658473089427"",""2.70816187051747"",""4.64673412824111"",""4.16683448729178"",""3.31490120859085"",""4.58641613824422"",""5.956588039469"",""3.47867490805301"",""3.54262291299057"",""3.31693178488821"",""2.84489395851972"",""2.87440926871045"",""3.91082154999758"",""4.41850092585226"",""4.39930017319018"",""2.88994049109705"",""-0.630935528182576"",""2.71154287697273"",""4.41375682824079"",""2.38665158083909"",""3.51287318184686"",""4.12404359248661"",""5.07083855297878"",""5.12008272605328"",""5.6818934383388"",""6.72321405963501"",""3.65249646178849"",""1.85750530090823"",""6.89058676535043"",""4.72795565848412"",""4.34747180978215"",""4.42346766831723"",""3.96079176717636"",""3.95913976981777"",""3.9274291929303"",""4.31112815066383"",""4.09114157412462"",""3.50814618392725"",""-0.562980140770733"","""","
"European Union,""EUU"",""GDP per capita growth (annual %)"",""NY.GDP.PCAP.KD.ZG"","""","""","""","""","""","""","""","""","""","""","""",""3.08247990781688"",""4.06221059519956"",""5.32766557073829"",""2.46432710810925"",""-1.25276192976095"",""4.32749824189298"",""2.37514212848744"",""2.57923849971962"",""3.41683626174958"",""1.61867863171672"",""0.100428289643361"",""0.482713555225885"",""1.18333928927609"",""2.25863155248889"",""2.10723531700469"",""2.30144987409335"",""2.21835365362226"",""3.82534204004676"",""3.56584316037485"",""3.03671195952431"",""1.55686201308876"",""0.865423706691956"",""-0.896646709618125"",""2.39676928287038"",""2.46860294419049"",""1.71512508380087"",""2.49886242071953"",""2.87276560006566"",""2.77878134088093"",""3.77565917850076"",""2.04032500362609"",""0.878130381614042"",""0.549684549041828"",""2.20763568333868"",""1.5633434612176"",""3.15806220807377"",""2.80885318891218"",""0.318805093071248"",""-4.57392501994543"",""2.1069839588353"",""2.03928142174806"",""-0.852714434403552"",""-0.274538554032404"",""1.32212691599049"",""2.08813533361607"",""1.79211498792962"",""2.65261505423385"",""1.89906386986817"",""1.75248633405729"",""-6.01497797663717"","""","
"Latin America & Caribbean,""LCN"",""GDP per capita growth (annual %)"",""NY.GDP.PCAP.KD.ZG"","""",""3.29557365824826"",""1.48928045271745"",""-0.740170423927282"",""4.34126628517724"",""2.87017682772111"",""2.22271867416852"",""1.66230690492742"",""4.38688183884059"",""4.25416779930272"",""3.92093267001567"",""4.37539580340143"",""4.62200475542519"",""5.48645885108492"",""3.81747157158352"",""1.17500426626329"",""3.06783493080553"",""2.54673207876557"",""2.13310120011356"",""4.97963074090428"",""4.37314596536676"",""-1.377914530341"",""-2.44148021825619"",""-4.00715451496006"",""1.69993803349658"",""1.11016535754477"",""1.75072390316302"",""1.20596416558512"",""-1.31092771702392"",""-0.118242177403104"",""-2.31144719948138"",""1.13717516404364"",""0.738041288831326"",""2.37839561076537"",""3.60007854980307"",""-0.817892498537887"",""2.37458417750189"",""3.62389403800204"",""1.06780154589939"",""-0.868100082063364"",""2.07706294100234"",""-0.913998597327463"",""-0.833783034469874"",""1.18173365751049"",""4.26686973797371"",""2.71630575026714"",""3.79724847645284"",""4.02767920980764"",""2.51435852904389"",""-3.12670729015568"",""5.25385510737952"",""3.2886648463186"",""1.39174352994647"",""1.77866854292697"",""0.311793395551945"",""-0.473668861043194"",""-1.13649562069644"",""0.900998158085514"",""0.68640421265755"",""-0.129939840379194"",""-7.57083498986965"","""","
"United States,""USA"",""GDP per capita growth (annual %)"",""NY.GDP.PCAP.KD.ZG"","""",""0.618121192654741"",""4.48066935423358"",""2.90827194808753"",""4.34054896320299"",""5.07809761043293"",""5.27711385836413"",""1.38995128628369"",""3.75881936763187"",""2.09736970647879"",""-1.50087648707766"",""1.99560024848533"",""4.13809674916803"",""4.64215575918362"",""-1.44513435462541"",""-1.18458141140461"",""4.39146287315934"",""3.57714670598315"",""4.42298460840999"",""2.03388706760026"",""-1.20929826622886"",""1.53632027163708"",""-2.73456972906553"",""3.63197930451665"",""6.312167663412"",""3.25065641495195"",""2.51088597322051"",""2.53862353181282"",""3.23541610148099"",""2.69816668204892"",""0.741486100606451"",""-1.43420012129813"",""2.09661276120214"",""1.40570855626423"",""2.76088230054073"",""1.46871823682066"",""2.57225920638291"",""3.13259494968293"",""3.27052405029819"",""3.55719308636057"",""2.97520862932463"",""0.00364897578270984"",""0.802103853582764"",""1.98092583511948"",""2.84268063989242"",""2.5635024091702"",""1.86795551589975"",""0.911865593620419"",""-1.07670008481743"",""-3.38743566168993"",""1.71640025696944"",""0.815453101425561"",""1.50218790452286"",""1.13889660200263"",""1.77683770330539"",""2.31944145566627"",""0.977012681566976"",""1.68732140604138"",""2.45567919884604"",""1.69701129870931"",""-4.32861965716218"","""","
