"Date","Price","Open","High","Low","Change %"
"Sep 28, 2021","0.1285","0.1285","0.1285","0.1285","0.00%"
"Sep 27, 2021","0.1285","0.1284","0.1285","0.1284","0.00%"
"Sep 24, 2021","0.1284","0.1285","0.1285","0.1284","0.00%"
"Sep 23, 2021","0.1285","0.1284","0.1285","0.1284","0.00%"
"Sep 22, 2021","0.1284","0.1284","0.1285","0.1284","0.00%"
"Sep 21, 2021","0.1284","0.1284","0.1285","0.1284","0.00%"
"Sep 20, 2021","0.1284","0.1285","0.1285","0.1284","-0.06%"
"Sep 17, 2021","0.1285","0.1285","0.1285","0.1285","0.00%"
"Sep 16, 2021","0.1285","0.1285","0.1285","0.1284","0.00%"
"Sep 15, 2021","0.1285","0.1286","0.1286","0.1285","-0.05%"
"Sep 14, 2021","0.1286","0.1285","0.1286","0.1285","0.00%"
"Sep 13, 2021","0.1285","0.1286","0.1286","0.1285","0.00%"
"Sep 10, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Sep 09, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Sep 08, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Sep 07, 2021","0.1286","0.1286","0.1287","0.1286","0.00%"
"Sep 06, 2021","0.1286","0.1287","0.1287","0.1286","0.00%"
"Sep 03, 2021","0.1287","0.1287","0.1287","0.1286","0.00%"
"Sep 02, 2021","0.1287","0.1286","0.1287","0.1286","0.08%"
"Sep 01, 2021","0.1286","0.1286","0.1286","0.1285","0.00%"
"Aug 31, 2021","0.1286","0.1284","0.1286","0.1284","0.12%"
"Aug 30, 2021","0.1284","0.1284","0.1284","0.1284","0.00%"
"Aug 27, 2021","0.1284","0.1284","0.1284","0.1283","0.00%"
"Aug 26, 2021","0.1284","0.1285","0.1285","0.1284","-0.04%"
"Aug 25, 2021","0.1285","0.1284","0.1285","0.1284","0.05%"
"Aug 24, 2021","0.1284","0.1283","0.1284","0.1283","0.06%"
"Aug 23, 2021","0.1283","0.1284","0.1284","0.1283","0.00%"
"Aug 20, 2021","0.1284","0.1284","0.1284","0.1283","0.00%"
"Aug 19, 2021","0.1284","0.1284","0.1284","0.1283","0.00%"
"Aug 18, 2021","0.1284","0.1283","0.1284","0.1283","0.06%"
"Aug 17, 2021","0.1283","0.1285","0.1285","0.1283","-0.11%"
"Aug 16, 2021","0.1285","0.1285","0.1285","0.1284","0.00%"
"Aug 13, 2021","0.1285","0.1285","0.1285","0.1285","0.00%"
"Aug 12, 2021","0.1285","0.1286","0.1286","0.1285","0.00%"
"Aug 11, 2021","0.1286","0.1285","0.1286","0.1285","0.00%"
"Aug 10, 2021","0.1285","0.1285","0.1285","0.1285","0.00%"
"Aug 09, 2021","0.1285","0.1285","0.1286","0.1285","-0.05%"
"Aug 06, 2021","0.1285","0.1286","0.1286","0.1285","0.00%"
"Aug 05, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Aug 04, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Aug 03, 2021","0.1286","0.1287","0.1287","0.1286","-0.07%"
"Aug 02, 2021","0.1287","0.1287","0.1287","0.1286","0.00%"
"Jul 30, 2021","0.1287","0.1287","0.1287","0.1286","0.00%"
"Jul 29, 2021","0.1287","0.1285","0.1287","0.1285","0.13%"
"Jul 28, 2021","0.1285","0.1284","0.1286","0.1284","0.06%"
"Jul 27, 2021","0.1284","0.1286","0.1286","0.1284","-0.09%"
"Jul 26, 2021","0.1286","0.1287","0.1287","0.1285","-0.12%"
"Jul 23, 2021","0.1287","0.1287","0.1287","0.1287","0.00%"
"Jul 22, 2021","0.1287","0.1286","0.1287","0.1286","0.00%"
"Jul 21, 2021","0.1286","0.1287","0.1287","0.1286","0.00%"
"Jul 20, 2021","0.1286","0.1287","0.1287","0.1286","0.00%"
"Jul 19, 2021","0.1287","0.1287","0.1287","0.1287","-0.04%"
"Jul 16, 2021","0.1287","0.1287","0.1287","0.1287","0.00%"
"Jul 15, 2021","0.1287","0.1288","0.1288","0.1287","0.00%"
"Jul 14, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"Jul 13, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"Jul 12, 2021","0.1288","0.1287","0.1288","0.1287","0.00%"
"Jul 09, 2021","0.1287","0.1287","0.1288","0.1287","0.00%"
"Jul 08, 2021","0.1287","0.1287","0.1287","0.1287","0.00%"
"Jul 07, 2021","0.1287","0.1288","0.1288","0.1287","0.00%"
"Jul 06, 2021","0.1288","0.1287","0.1288","0.1287","0.00%"
"Jul 05, 2021","0.1287","0.1288","0.1288","0.1287","0.00%"
"Jul 02, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"Jul 01, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 30, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 29, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 28, 2021","0.1288","0.1288","0.1289","0.1288","0.00%"
"Jun 25, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 24, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 23, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"Jun 22, 2021","0.1287","0.1288","0.1288","0.1287","0.00%"
"Jun 21, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 18, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 17, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 16, 2021","0.1288","0.1288","0.1289","0.1288","0.00%"
"Jun 15, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Jun 14, 2021","0.1288","0.1289","0.1289","0.1288","0.00%"
"Jun 11, 2021","0.1288","0.1289","0.1289","0.1288","0.00%"
"Jun 10, 2021","0.1289","0.1289","0.1289","0.1288","0.00%"
"Jun 09, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Jun 08, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Jun 07, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Jun 04, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Jun 03, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Jun 02, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Jun 01, 2021","0.1289","0.1289","0.1289","0.1288","0.00%"
"May 31, 2021","0.1288","0.1288","0.1289","0.1288","0.00%"
"May 28, 2021","0.1288","0.1289","0.1289","0.1288","0.00%"
"May 27, 2021","0.1289","0.1288","0.1289","0.1288","0.00%"
"May 26, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"May 25, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"May 24, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"May 21, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"May 20, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"May 19, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"May 18, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"May 17, 2021","0.1288","0.1287","0.1288","0.1287","0.00%"
"May 14, 2021","0.1287","0.1287","0.1288","0.1287","0.00%"
"May 13, 2021","0.1287","0.1288","0.1288","0.1287","0.00%"
"May 12, 2021","0.1288","0.1287","0.1288","0.1287","0.00%"
"May 11, 2021","0.1287","0.1288","0.1288","0.1287","-0.04%"
"May 10, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"May 07, 2021","0.1288","0.1287","0.1288","0.1287","0.00%"
"May 06, 2021","0.1287","0.1287","0.1287","0.1287","0.00%"
"May 05, 2021","0.1287","0.1287","0.1287","0.1287","0.00%"
"May 04, 2021","0.1287","0.1288","0.1288","0.1287","0.00%"
"May 03, 2021","0.1288","0.1287","0.1288","0.1287","0.00%"
"Apr 30, 2021","0.1287","0.1288","0.1288","0.1287","-0.05%"
"Apr 29, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Apr 28, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Apr 27, 2021","0.1288","0.1289","0.1289","0.1288","0.00%"
"Apr 26, 2021","0.1289","0.1289","0.1289","0.1288","0.00%"
"Apr 23, 2021","0.1289","0.1289","0.1289","0.1288","0.00%"
"Apr 22, 2021","0.1289","0.1288","0.1289","0.1288","0.06%"
"Apr 21, 2021","0.1288","0.1288","0.1289","0.1288","-0.04%"
"Apr 20, 2021","0.1288","0.1288","0.1289","0.1287","0.06%"
"Apr 19, 2021","0.1288","0.1287","0.1288","0.1286","0.07%"
"Apr 16, 2021","0.1287","0.1287","0.1288","0.1286","-0.05%"
"Apr 15, 2021","0.1287","0.1288","0.1288","0.1287","0.00%"
"Apr 14, 2021","0.1288","0.1286","0.1288","0.1286","0.10%"
"Apr 13, 2021","0.1286","0.1286","0.1287","0.1286","0.00%"
"Apr 12, 2021","0.1286","0.1286","0.1287","0.1285","0.06%"
"Apr 09, 2021","0.1286","0.1286","0.1286","0.1285","0.00%"
"Apr 08, 2021","0.1286","0.1284","0.1286","0.1284","0.10%"
"Apr 07, 2021","0.1284","0.1286","0.1286","0.1284","-0.11%"
"Apr 06, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Apr 05, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Apr 02, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Apr 01, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Mar 31, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Mar 30, 2021","0.1286","0.1286","0.1287","0.1286","0.00%"
"Mar 29, 2021","0.1286","0.1287","0.1287","0.1286","-0.05%"
"Mar 26, 2021","0.1287","0.1287","0.1287","0.1287","0.00%"
"Mar 25, 2021","0.1287","0.1287","0.1287","0.1287","0.00%"
"Mar 24, 2021","0.1287","0.1287","0.1288","0.1287","0.00%"
"Mar 23, 2021","0.1287","0.1288","0.1288","0.1287","0.00%"
"Mar 22, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"Mar 19, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"Mar 18, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Mar 17, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"Mar 16, 2021","0.1288","0.1288","0.1288","0.1287","0.00%"
"Mar 15, 2021","0.1288","0.1288","0.1288","0.1288","0.00%"
"Mar 12, 2021","0.1288","0.1289","0.1289","0.1288","-0.04%"
"Mar 11, 2021","0.1289","0.1288","0.1289","0.1288","0.00%"
"Mar 10, 2021","0.1288","0.1288","0.1289","0.1288","0.00%"
"Mar 09, 2021","0.1288","0.1287","0.1289","0.1287","0.10%"
"Mar 08, 2021","0.1287","0.1288","0.1288","0.1287","-0.07%"
"Mar 05, 2021","0.1288","0.1289","0.1289","0.1288","-0.05%"
"Mar 04, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Mar 03, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Mar 02, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Mar 01, 2021","0.1289","0.1289","0.1289","0.1289","0.00%"
"Feb 26, 2021","0.1289","0.1290","0.1290","0.1289","0.00%"
"Feb 25, 2021","0.1290","0.1290","0.1290","0.1289","0.00%"
"Feb 24, 2021","0.1289","0.1290","0.1290","0.1289","0.00%"
"Feb 23, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 22, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 19, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 18, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 17, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 16, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 15, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 12, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 11, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 10, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 09, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 08, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 05, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 04, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 03, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 02, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Feb 01, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 29, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 28, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 27, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 26, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 25, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 22, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 21, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 20, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 19, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 18, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 15, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 14, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 13, 2021","0.1290","0.1289","0.1290","0.1289","0.00%"
"Jan 12, 2021","0.1289","0.1289","0.1290","0.1289","0.00%"
"Jan 11, 2021","0.1289","0.1289","0.1290","0.1289","0.00%"
"Jan 08, 2021","0.1289","0.1290","0.1290","0.1289","0.00%"
"Jan 07, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 06, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 05, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 04, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Jan 01, 2021","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 31, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 30, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 29, 2020","0.1290","0.1289","0.1290","0.1289","0.00%"
"Dec 28, 2020","0.1289","0.1290","0.1290","0.1289","0.00%"
"Dec 25, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 24, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 23, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 22, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 21, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 18, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 17, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 16, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 15, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 14, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 11, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 10, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 09, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 08, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 07, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 04, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 03, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 02, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Dec 01, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 30, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 27, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 26, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 25, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 24, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 23, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 20, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 19, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 18, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 17, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 16, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 13, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 12, 2020","0.1290","0.1290","0.1290","0.1289","0.00%"
"Nov 11, 2020","0.1290","0.1290","0.1290","0.1289","0.00%"
"Nov 10, 2020","0.1290","0.1290","0.1290","0.1289","0.00%"
"Nov 09, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 06, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 05, 2020","0.1290","0.1289","0.1290","0.1289","0.04%"
"Nov 04, 2020","0.1289","0.1290","0.1290","0.1289","-0.04%"
"Nov 03, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Nov 02, 2020","0.1290","0.1290","0.1290","0.1289","0.00%"
"Oct 30, 2020","0.1290","0.1290","0.1290","0.1289","0.00%"
"Oct 29, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Oct 28, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Oct 27, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Oct 26, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Oct 23, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
"Oct 22, 2020","0.1290","0.1290","0.1290","0.1290","0.00%"
