Date;spy us equity;;iev us equity;;EWJ us equity;;EPP us equity;;EEMA us equity;;ILF us equity;;RSX us equity;;SHY us equity;;IEF us equity;;TLT us equity;;JNK us equity;;AGG us equity;;EMB us equity
#¿NOMBRE?;-0,738;#¿NOMBRE?;-1,9287;#¿NOMBRE?;-1,2308;#¿NOMBRE?;-2,2505;#¿NOMBRE?;-2,2002;#¿NOMBRE?;-2,0483;#¿NOMBRE?;-2,5698;#¿NOMBRE?;0,0237;#¿NOMBRE?;0,5638;#¿NOMBRE?;1,2988;#¿NOMBRE?;-0,5292;#¿NOMBRE?;0,136;#¿NOMBRE?;-0,3054
01/03/2012;0,5182;01/03/2012;1,3644;01/03/2012;0,5506;01/03/2012;0,7904;19/03/2012;-0,7973;01/03/2012;1,7688;01/03/2012;1,1811;01/03/2012;-0,0175;01/03/2012;-0,3238;01/03/2012;-0,9395;01/03/2012;0,0643;01/03/2012;-0,2017;01/03/2012;0,2413
02/03/2012;-0,3035;02/03/2012;-1,1349;02/03/2012;-0,9457;02/03/2012;-0,6946;20/03/2012;-1,4069;02/03/2012;-0,3436;02/03/2012;0,7183;02/03/2012;0,0237;02/03/2012;0,4015;02/03/2012;0,9392;02/03/2012;-0,3009;02/03/2012;0,2177;02/03/2012;0,4774
05/03/2012;-0,4093;05/03/2012;-0,4004;05/03/2012;-0,603;05/03/2012;-1,083;21/03/2012;0,9081;05/03/2012;-1,5818;05/03/2012;-1,575;05/03/2012;0;05/03/2012;-0,1999;05/03/2012;-0,7939;05/03/2012;-0,2515;05/03/2012;-0,1448;05/03/2012;0,044
06/03/2012;-1,4625;06/03/2012;-3,9936;06/03/2012;-0,8595;06/03/2012;-3,2847;22/03/2012;-1,2024;06/03/2012;-3,1733;06/03/2012;-5,7971;06/03/2012;0;06/03/2012;0,4198;06/03/2012;1,2132;06/03/2012;-1,1599;06/03/2012;0,1994;06/03/2012;-0,8882
07/03/2012;0,6976;07/03/2012;1,4238;07/03/2012;0,6629;07/03/2012;0,7311;23/03/2012;0,0459;07/03/2012;0,7023;07/03/2012;2,1154;07/03/2012;-0,0237;07/03/2012;-0,19;07/03/2012;-0,6121;07/03/2012;0,1786;07/03/2012;-0,0904;07/03/2012;0,4437
08/03/2012;0,9949;08/03/2012;2,5323;08/03/2012;1,7224;08/03/2012;1,6624;26/03/2012;1,152;08/03/2012;1,7751;08/03/2012;2,511;08/03/2012;-0,0356;08/03/2012;-0,2951;08/03/2012;-1,0008;08/03/2012;0,8149;08/03/2012;-0,2263;08/03/2012;0,4505
09/03/2012;0,3867;09/03/2012;-0,698;09/03/2012;0,3984;09/03/2012;-0,2533;28/03/2012;-1,194;09/03/2012;-0,5814;09/03/2012;0,1837;09/03/2012;0;09/03/2012;-0,0764;09/03/2012;0,1987;09/03/2012;0;09/03/2012;-0,0181;09/03/2012;0,1319
12/03/2012;0,0073;12/03/2012;0,1622;12/03/2012;-0,9921;12/03/2012;-0,7619;10/04/2012;-2,1382;12/03/2012;-1,274;12/03/2012;-0,7946;12/03/2012;0,0119;12/03/2012;-0,0287;12/03/2012;-0,0172;12/03/2012;-0,1516;12/03/2012;0,0908;12/03/2012;0,2898
13/03/2012;1,804;13/03/2012;1,7814;13/03/2012;0,9018;13/03/2012;2,3732;12/04/2012;3,4007;13/03/2012;2,7713;13/03/2012;2,0949;13/03/2012;-0,0593;13/03/2012;-0,7167;13/03/2012;-1,7594;13/03/2012;0,8095;13/03/2012;-0,3355;13/03/2012;0,254
14/03/2012;-0,1085;14/03/2012;-0,6895;14/03/2012;-1,142;14/03/2012;-1,2045;13/04/2012;-1,084;14/03/2012;-0,7616;14/03/2012;-1,4182;14/03/2012;-0,1423;14/03/2012;-1,1426;14/03/2012;-2,5195;14/03/2012;-0,276;14/03/2012;-0,5459;14/03/2012;-0,5328
15/03/2012;0,5789;15/03/2012;0,9613;15/03/2012;0,8538;15/03/2012;1,0812;16/04/2012;-0,6315;15/03/2012;0,6015;15/03/2012;0,7958;15/03/2012;0,0594;15/03/2012;-0,0321;15/03/2012;0,1531;15/03/2012;-0,302;15/03/2012;-0,0457;15/03/2012;-0,3776
16/03/2012;0,1378;16/03/2012;0,8728;16/03/2012;0,5478;16/03/2012;0,5234;18/04/2012;0,6168;16/03/2012;0,1649;16/03/2012;-0,9414;16/03/2012;0,0594;16/03/2012;-0,0292;16/03/2012;0,1978;16/03/2012;-0,1262;16/03/2012;0,0092;16/03/2012;0,0882
19/03/2012;0,392;19/03/2012;0,4719;19/03/2012;0,3467;19/03/2012;0,0906;19/04/2012;-0,1117;19/03/2012;0;19/03/2012;-0,6438;19/03/2012;-0,0712;19/03/2012;-0,6138;19/03/2012;-1,1936;19/03/2012;0,278;19/03/2012;-0,3203;19/03/2012;-0,2642
20/03/2012;-0,2911;20/03/2012;-1,1743;20/03/2012;-0,9872;20/03/2012;-2,0357;20/04/2012;0,172;20/03/2012;-1,2145;20/03/2012;-2,4684;20/03/2012;-0,0237;20/03/2012;0,049;20/03/2012;0,3996;20/03/2012;-0,1512;20/03/2012;0,1469;20/03/2012;-0,3444
21/03/2012;-0,1638;21/03/2012;-0,5809;21/03/2012;-0,5484;21/03/2012;-0,3925;23/04/2012;-1,7125;21/03/2012;0,2292;21/03/2012;-0,1582;21/03/2012;0,0594;21/03/2012;0,5095;21/03/2012;1,1308;21/03/2012;-0,1514;21/03/2012;0,2383;21/03/2012;-0,0975
22/03/2012;-0,7203;22/03/2012;-1,1421;22/03/2012;0,1504;22/03/2012;-0,7881;24/04/2012;0,3544;22/03/2012;-1,3929;22/03/2012;-2,3447;22/03/2012;0,0119;22/03/2012;0,1267;22/03/2012;0,322;22/03/2012;-0,0506;22/03/2012;0,0914;22/03/2012;-0,0443
23/03/2012;0,3233;23/03/2012;0,6985;23/03/2012;0;23/03/2012;1,0514;25/04/2012;0,8364;23/03/2012;0,7168;23/03/2012;1,6872;23/03/2012;0,0119;23/03/2012;0,37;23/03/2012;0,9452;23/03/2012;-0,3288;23/03/2012;0,2284;23/03/2012;0,0089
26/03/2012;1,4035;26/03/2012;1,7076;26/03/2012;0,7007;26/03/2012;1,5954;26/04/2012;0,6944;26/03/2012;1,905;26/03/2012;2,3931;26/03/2012;0,0237;26/03/2012;-0,1164;26/03/2012;-0,5123;26/03/2012;0,7105;26/03/2012;-0,0729;26/03/2012;-0,213
27/03/2012;-0,3107;27/03/2012;-1,1542;27/03/2012;0,7455;27/03/2012;-0,7055;27/04/2012;0,0556;27/03/2012;-0,5546;27/03/2012;-1,7139;27/03/2012;0,0356;27/03/2012;0,5536;27/03/2012;0,7192;27/03/2012;0,1008;27/03/2012;0,1095;27/03/2012;0,0356
28/03/2012;-0,4959;28/03/2012;-1,1146;28/03/2012;0,2467;28/03/2012;-0,275;30/04/2012;-0,2483;28/03/2012;-1,6319;28/03/2012;-2,9169;28/03/2012;-0,0237;28/03/2012;-0,1738;28/03/2012;-0,141;28/03/2012;-0,5789;28/03/2012;-0,0182;28/03/2012;0,0711
29/03/2012;-0,1709;29/03/2012;-0,7783;29/03/2012;-0,1476;29/03/2012;-0,3677;01/05/2012;1,3633;29/03/2012;-0,021;29/03/2012;0,098;29/03/2012;0,0356;29/03/2012;0,416;29/03/2012;0,7504;29/03/2012;0;29/03/2012;0,2734;29/03/2012;-0,1244
30/03/2012;0,4136;30/03/2012;1,0279;30/03/2012;0,2957;30/03/2012;0,3922;02/05/2012;-0,5402;30/03/2012;0,042;30/03/2012;0,7341;30/03/2012;-0,0119;30/03/2012;-0,4914;30/03/2012;-1,6911;30/03/2012;-0,3291;30/03/2012;-0,1545;30/03/2012;0,2401
02/04/2012;0,7315;02/04/2012;1,5261;02/04/2012;0,1474;02/04/2012;0,7812;03/05/2012;-0,0724;02/04/2012;1,3647;02/04/2012;1,0526;02/04/2012;0,0241;02/04/2012;0,2395;02/04/2012;0,5526;02/04/2012;0,2333;02/04/2012;0,012;02/04/2012;0,4227
03/04/2012;-0,4089;03/04/2012;-2,0833;03/04/2012;-1,2758;03/04/2012;-1,3224;04/05/2012;-1,4194;03/04/2012;-0,8906;03/04/2012;0,1282;03/04/2012;-0,0712;03/04/2012;-0,7354;03/04/2012;-1,7329;03/04/2012;-0,0255;03/04/2012;-0,4288;03/04/2012;-0,275
04/04/2012;-0,9911;04/04/2012;-2,5855;04/04/2012;-2,336;04/04/2012;-1,0628;07/05/2012;0,4676;04/04/2012;-1,9645;04/04/2012;-2,4488;04/04/2012;0,0237;04/04/2012;0,5069;04/04/2012;1,3747;04/04/2012;-0,1275;04/04/2012;0,2107;04/04/2012;-0,0178
05/04/2012;-0,0501;05/04/2012;-0,9124;05/04/2012;0;05/04/2012;0,5838;08/05/2012;-1,8245;05/04/2012;-0,1705;05/04/2012;0,5086;05/04/2012;0,0356;05/04/2012;0,4461;05/04/2012;0,7225;05/04/2012;-0,4852;05/04/2012;0,2286;05/04/2012;-0,2402
09/04/2012;-1,1231;09/04/2012;-0,4464;09/04/2012;-0,6107;09/04/2012;-1,0216;09/05/2012;-2,3507;09/04/2012;-0,662;09/04/2012;-2,2527;09/04/2012;0,0712;09/04/2012;1,0235;09/04/2012;2,3381;09/04/2012;-0,3593;09/04/2012;0,4378;09/04/2012;0,321
10/04/2012;-1,6785;10/04/2012;-2,5224;10/04/2012;-1,1777;10/04/2012;-1,384;10/05/2012;0,6791;10/04/2012;-1,8272;10/04/2012;-2,338;10/04/2012;0,0474;10/04/2012;0,4683;10/04/2012;1,1336;10/04/2012;-0,3605;10/04/2012;0,0091;10/04/2012;-0,4267
11/04/2012;0,8094;11/04/2012;1,6964;11/04/2012;1,3472;11/04/2012;0,8325;11/05/2012;-1,1184;11/04/2012;0,3722;11/04/2012;1,881;11/04/2012;-0,0118;11/04/2012;-0,39;11/04/2012;-1,1979;11/04/2012;0,5945;11/04/2012;0,0091;11/04/2012;0,3392
12/04/2012;1,3066;12/04/2012;1,9791;12/04/2012;0,4601;12/04/2012;2,6185;14/05/2012;-1,4628;12/04/2012;2,2251;12/04/2012;1,8295;12/04/2012;0,0118;12/04/2012;-0,2006;12/04/2012;-0,4157;12/04/2012;0,7194;12/04/2012;-0,0999;12/04/2012;0,4804
