"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"30.12.2021","0,1282","0,1283","0,1283","0,1282","0,00%"
"29.12.2021","0,1283","0,1282","0,1283","0,1282","0,00%"
"28.12.2021","0,1282","0,1282","0,1282","0,1282","0,00%"
"27.12.2021","0,1282","0,1282","0,1282","0,1282","0,00%"
"24.12.2021","0,1282","0,1282","0,1282","0,1282","0,00%"
"23.12.2021","0,1282","0,1282","0,1282","0,1282","0,00%"
"22.12.2021","0,1282","0,1282","0,1282","0,1282","0,00%"
"21.12.2021","0,1282","0,1282","0,1282","0,1282","0,00%"
"20.12.2021","0,1282","0,1282","0,1282","0,1281","0,00%"
"17.12.2021","0,1282","0,1281","0,1282","0,1281","0,00%"
"16.12.2021","0,1281","0,1282","0,1282","0,1281","0,00%"
"15.12.2021","0,1282","0,1282","0,1282","0,1281","0,00%"
"14.12.2021","0,1282","0,1282","0,1282","0,1281","0,00%"
"13.12.2021","0,1282","0,1282","0,1282","0,1281","0,00%"
"10.12.2021","0,1282","0,1283","0,1283","0,1282","0,00%"
"09.12.2021","0,1283","0,1282","0,1283","0,1282","0,00%"
"08.12.2021","0,1282","0,1282","0,1283","0,1282","0,00%"
"07.12.2021","0,1282","0,1282","0,1283","0,1282","0,00%"
"06.12.2021","0,1282","0,1283","0,1283","0,1282","-0,07%"
"03.12.2021","0,1283","0,1284","0,1284","0,1282","-0,04%"
"02.12.2021","0,1284","0,1283","0,1284","0,1283","0,00%"
"01.12.2021","0,1283","0,1282","0,1284","0,1282","0,06%"
"30.11.2021","0,1282","0,1282","0,1283","0,1282","0,00%"
"29.11.2021","0,1282","0,1282","0,1282","0,1282","0,00%"
"26.11.2021","0,1282","0,1283","0,1283","0,1282","0,00%"
"25.11.2021","0,1283","0,1282","0,1283","0,1282","0,00%"
"24.11.2021","0,1282","0,1283","0,1283","0,1282","-0,06%"
"23.11.2021","0,1283","0,1284","0,1284","0,1283","-0,06%"
"22.11.2021","0,1284","0,1284","0,1284","0,1283","0,00%"
"19.11.2021","0,1284","0,1284","0,1284","0,1283","0,00%"
"18.11.2021","0,1284","0,1284","0,1284","0,1284","0,00%"
"17.11.2021","0,1284","0,1284","0,1284","0,1284","0,00%"
"16.11.2021","0,1284","0,1284","0,1284","0,1284","0,00%"
"15.11.2021","0,1284","0,1284","0,1284","0,1283","0,00%"
"12.11.2021","0,1284","0,1283","0,1284","0,1283","0,00%"
"11.11.2021","0,1283","0,1283","0,1284","0,1283","0,00%"
"10.11.2021","0,1283","0,1284","0,1284","0,1283","0,00%"
"09.11.2021","0,1284","0,1284","0,1284","0,1283","0,00%"
"08.11.2021","0,1284","0,1285","0,1285","0,1284","-0,06%"
"05.11.2021","0,1285","0,1285","0,1285","0,1284","0,00%"
"04.11.2021","0,1285","0,1285","0,1285","0,1285","0,00%"
"03.11.2021","0,1285","0,1285","0,1285","0,1284","0,00%"
"02.11.2021","0,1285","0,1285","0,1285","0,1285","0,00%"
"01.11.2021","0,1285","0,1286","0,1286","0,1285","-0,05%"
"29.10.2021","0,1285","0,1286","0,1286","0,1285","0,00%"
"28.10.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"27.10.2021","0,1286","0,1286","0,1286","0,1285","0,00%"
"26.10.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"25.10.2021","0,1286","0,1286","0,1287","0,1286","0,00%"
"22.10.2021","0,1286","0,1286","0,1287","0,1286","0,00%"
"21.10.2021","0,1286","0,1286","0,1287","0,1286","0,00%"
"20.10.2021","0,1286","0,1286","0,1287","0,1286","0,00%"
"19.10.2021","0,1286","0,1286","0,1286","0,1285","0,00%"
"18.10.2021","0,1286","0,1286","0,1286","0,1285","0,00%"
"15.10.2021","0,1286","0,1286","0,1286","0,1285","0,00%"
"14.10.2021","0,1286","0,1285","0,1286","0,1285","0,00%"
"13.10.2021","0,1285","0,1285","0,1286","0,1285","0,00%"
"12.10.2021","0,1285","0,1286","0,1286","0,1285","-0,05%"
"11.10.2021","0,1286","0,1285","0,1286","0,1284","0,08%"
"08.10.2021","0,1285","0,1285","0,1285","0,1284","0,00%"
"07.10.2021","0,1285","0,1284","0,1285","0,1284","0,00%"
"06.10.2021","0,1284","0,1284","0,1285","0,1284","0,00%"
"05.10.2021","0,1284","0,1284","0,1285","0,1284","0,00%"
"04.10.2021","0,1284","0,1285","0,1285","0,1284","0,00%"
"01.10.2021","0,1285","0,1284","0,1285","0,1284","0,00%"
"30.09.2021","0,1284","0,1284","0,1285","0,1284","0,00%"
"29.09.2021","0,1284","0,1285","0,1285","0,1284","0,00%"
"28.09.2021","0,1285","0,1285","0,1285","0,1285","0,00%"
"27.09.2021","0,1285","0,1284","0,1285","0,1284","0,00%"
"24.09.2021","0,1284","0,1285","0,1285","0,1284","0,00%"
"23.09.2021","0,1285","0,1284","0,1285","0,1284","0,00%"
"22.09.2021","0,1284","0,1284","0,1285","0,1284","0,00%"
"21.09.2021","0,1284","0,1284","0,1285","0,1284","0,00%"
"20.09.2021","0,1284","0,1285","0,1285","0,1284","-0,06%"
"17.09.2021","0,1285","0,1285","0,1285","0,1285","0,00%"
"16.09.2021","0,1285","0,1285","0,1285","0,1284","0,00%"
"15.09.2021","0,1285","0,1286","0,1286","0,1285","-0,05%"
"14.09.2021","0,1286","0,1285","0,1286","0,1285","0,00%"
"13.09.2021","0,1285","0,1286","0,1286","0,1285","0,00%"
"10.09.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"09.09.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"08.09.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"07.09.2021","0,1286","0,1286","0,1287","0,1286","0,00%"
"06.09.2021","0,1286","0,1287","0,1287","0,1286","0,00%"
"03.09.2021","0,1287","0,1287","0,1287","0,1286","0,00%"
"02.09.2021","0,1287","0,1286","0,1287","0,1286","0,08%"
"01.09.2021","0,1286","0,1286","0,1286","0,1285","0,00%"
"31.08.2021","0,1286","0,1284","0,1286","0,1284","0,12%"
"30.08.2021","0,1284","0,1284","0,1284","0,1284","0,00%"
"27.08.2021","0,1284","0,1284","0,1284","0,1283","0,00%"
"26.08.2021","0,1284","0,1285","0,1285","0,1284","-0,04%"
"25.08.2021","0,1285","0,1284","0,1285","0,1284","0,05%"
"24.08.2021","0,1284","0,1283","0,1284","0,1283","0,06%"
"23.08.2021","0,1283","0,1284","0,1284","0,1283","0,00%"
"20.08.2021","0,1284","0,1284","0,1284","0,1283","0,00%"
"19.08.2021","0,1284","0,1284","0,1284","0,1283","0,00%"
